locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
Synpcc7942_1884,Synpcc7942_1884,CP000100.1,,1956126,1956647,-,RfaE bifunctional protein%2C domain II,Coenzyme transport and metabolism,Q31M05,Op1420
Synpcc7942_1885,cbbY,CP000100.1,,1956644,1957411,-,HAD-superfamily hydrolase subfamily IA%2C variant 3,Function unknown,Q31M04,Op1420
Synpcc7942_1886,recJ,CP000100.1,,1957417,1959471,+,exonuclease RecJ,"Replication, recombination and repair",Q31M03,Op1421
Synpcc7942_1887,Synpcc7942_1887,CP000100.1,,1959524,1960816,+,probable mannosyltransferase,Cell wall/membrane/envelope biogenesis,Q31M02,Op1422
Synpcc7942_1888,Synpcc7942_1888,CP000100.1,,1960851,1961891,+,conserved hypothetical protein,No COG annotation,Q31M01,Op1422
Synpcc7942_1889,Synpcc7942_1889,CP000100.1,,1961987,1963582,-,conserved hypothetical protein,Carbohydrate transport and metabolism,Q31M00,Op1423
Synpcc7942_1890,Synpcc7942_1890,CP000100.1,,1963748,1964254,+,conserved hypothetical protein,No COG annotation,Q31LZ9,Op1424
Synpcc7942_1891,labA,CP000100.1,,1964412,1964972,+,conserved hypothetical protein,Function unknown,Q31LZ8,Op1425
Synpcc7942_1892,Synpcc7942_1892,CP000100.1,,1964969,1965778,+,Rhodanese-like,Transcription,Q31LZ7,Op1425
Synpcc7942_1893,natA,CP000100.1,,1965754,1966530,-,ATPase,Amino acid transport and metabolism,Q31LZ6,Op1426
Synpcc7942_1894,natC,CP000100.1,,1966520,1967599,-,integral membrane protein of the ABC-type Nat permease for neutral amino acids,Amino acid transport and metabolism,Q31LZ5,Op1426
Synpcc7942_1895,Synpcc7942_1895,CP000100.1,,1967770,1968582,+,conserved hypothetical protein,No COG annotation,Q31LZ4,Op1427
Synpcc7942_1896,argJ,CP000100.1,,1968654,1969898,-,N-acetylglutamate synthase / glutamate N-acetyltransferase,Amino acid transport and metabolism,Q31LZ3,Op1428
Synpcc7942_1897,devT,CP000100.1,,1969931,1970821,-,putative transcripton factor DevT-like,Function unknown,Q31LZ2,Op1428
Synpcc7942_1898,leuC,CP000100.1,,1970822,1972228,-,3-isopropylmalate dehydratase%2C large subunit,Coenzyme transport and metabolism,Q31LZ1,Op1428
Synpcc7942_1899,Synpcc7942_1899,CP000100.1,,1972290,1972778,-,conserved hypothetical protein,Function unknown,Q31LZ0,Op1429
Synpcc7942_1900,dcd2,CP000100.1,,1972832,1973413,+,Deoxycytidine triphosphate deaminase,Nucleotide transport and metabolism,Q31LY9,Op1430
Synpcc7942_1901,Synpcc7942_1901,CP000100.1,,1973458,1975839,-,putative glycosyltransferase,No COG annotation,Q31LY8,Op1431
Synpcc7942_1902,Synpcc7942_1902,CP000100.1,,1975932,1976978,-,putative glycosyltransferase,No COG annotation,Q31LY7,Op1432
Synpcc7942_1903,Synpcc7942_1903,CP000100.1,,1976983,1978113,-,conserved hypothetical protein,No COG annotation,Q31LY6,Op1432
Synpcc7942_1904,Synpcc7942_1904,CP000100.1,,1978129,1979454,-,hemolysin secretion protein-like,Cell wall/membrane/envelope biogenesis,Q31LY5,Op1432
Synpcc7942_1905,Synpcc7942_1905,CP000100.1,,1979496,1982498,-,cyclic nucleotide-binding domain (cNMP-BD) protein,Defense mechanisms,Q31LY4,Op1433
Synpcc7942_1906,Synpcc7942_1906,CP000100.1,,1982513,1983253,-,conserved hypothetical protein,Carbohydrate transport and metabolism,Q31LY3,Op1433
Synpcc7942_1907,acsF,CP000100.1,,1983417,1984493,-,Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase,Coenzyme transport and metabolism,Q31LY2,Op1434
Synpcc7942_1908,ndhV,CP000100.1,,1984647,1985081,-,conserved hypothetical protein,Function unknown,Q31LY1,Op1435
Synpcc7942_1909,Synpcc7942_1909,CP000100.1,,1985142,1985738,-,conserved hypothetical protein,No COG annotation,Q31LY0,Op1436
Synpcc7942_1910,ubiX,CP000100.1,,1985741,1986379,-,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,Coenzyme transport and metabolism,Q31LX9,Op1436
Synpcc7942_1911,zam,CP000100.1,,1986376,1988613,-,Cold shock protein,Transcription,Q31LX8,Op1436
Synpcc7942_1912,phoU,CP000100.1,,1988931,1989605,-,phosphate uptake regulator%2C PhoU,Inorganic ion transport and metabolism,Q31LX7,Op1437
Synpcc7942_1913,Synpcc7942_1913,CP000100.1,,1989975,1990358,+,conserved hypothetical protein,No COG annotation,Q31LX6,Op1438
Synpcc7942_1914,Synpcc7942_1914,CP000100.1,,1990394,1990852,+,conserved hypothetical protein,No COG annotation,Q31LX5,Op1438
Synpcc7942_1915,aroH,CP000100.1,,1991020,1991412,-,chorismate mutase,Amino acid transport and metabolism,Q31LX4,Op1439
Synpcc7942_1916,sppA,CP000100.1,,1991469,1992281,-,signal peptide peptidase A. Serine peptidase. MEROPS family S49,"Post-translational modification, protein turnover, and chaperones",Q31LX3,Op1440
Synpcc7942_1917,rhaT,CP000100.1,,1992369,1993463,+,permease of the drug/metabolite transporter,Amino acid transport and metabolism,Q31LX2,Op1441
Synpcc7942_1918,Synpcc7942_1918,CP000100.1,,1993521,1994600,+,UDP-glucose:tetrahydrobiopterin glucosyltransferase,Cell wall/membrane/envelope biogenesis,Q31LX1,Op1442
Synpcc7942_1919,Synpcc7942_1919,CP000100.1,,1994565,1995326,-,transcriptional regulator%2C XRE family,No COG annotation,Q31LX0,Op1443
Synpcc7942_1920,leuS,CP000100.1,,1995596,1998193,-,leucyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",Q31LW9,Op1444
Synpcc7942_1921,Synpcc7942_1921,CP000100.1,,1998203,1998655,+,conserved hypothetical protein,Function unknown,Q31LW8,Op1445
Synpcc7942_1922,Synpcc7942_1922,CP000100.1,,1998656,1999156,-,putative transmembrane transcriptional regulator,Transcription,Q31LW7,Op1446
Synpcc7942_1923,sigG,CP000100.1,,1999240,1999896,-,sigma-24 (FecI-like),Transcription,Q31LW6,Op1447
Synpcc7942_1924,Synpcc7942_1924,CP000100.1,,2000205,2000732,-,conserved hypothetical protein,Function unknown,Q31LW5,Op1448
Synpcc7942_1925,Synpcc7942_1925,CP000100.1,,2000732,2001583,-,probable peptidase,Cell wall/membrane/envelope biogenesis,Q31LW4,Op1448
Synpcc7942_1926,Synpcc7942_1926,CP000100.1,,2001647,2001940,-,conserved hypothetical protein,No COG annotation,Q31LW3,Op1449
Synpcc7942_1927,dapF,CP000100.1,,2001982,2002824,+,diaminopimelate epimerase,Amino acid transport and metabolism,Q31LW2,Op1450
Synpcc7942_1928,Synpcc7942_1928,CP000100.1,,2002837,2003079,+,conserved hypothetical protein,No COG annotation,Q31LW1,Op1450
Synpcc7942_1929,Synpcc7942_1929,CP000100.1,,2003133,2004293,+,cysteine desulfurase,Amino acid transport and metabolism,Q31LW0,Op1451
Synpcc7942_1930,Synpcc7942_1930,CP000100.1,,2004305,2005048,+,conserved hypothetical protein,Function unknown,Q31LV9,Op1451
Synpcc7942_1931,Synpcc7942_1931,CP000100.1,,2005055,2005825,+,probable serine/threonine protein phosphatase,Signal transduction mechanisms,Q31LV8,Op1451
Synpcc7942_1932,Synpcc7942_1932,CP000100.1,,2006047,2006580,+,conserved hypothetical protein,Function unknown,Q31LV7,Op1452
Synpcc7942_1933,fni,CP000100.1,,2006589,2007635,+,Isopentenyl-diphosphate delta-isomerase%2C FMN-dependent,Energy production and conversion,Q31LV6,Op1452
Synpcc7942_1934,dacB,CP000100.1,,2007641,2008990,+,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase,Cell wall/membrane/envelope biogenesis,Q31LV5,Op1452
Synpcc7942_1935,pilD,CP000100.1,,2009232,2010020,-,type 4 prepilin peptidase 1. Aspartic peptidase. MEROPS family A24A,Cell motility,Q31LV4,Op1453
Synpcc7942_1936,Synpcc7942_1936,CP000100.1,,2010026,2010268,-,conserved hypothetical protein,No COG annotation,Q31LV3,Op1453
Synpcc7942_1937,msrA,CP000100.1,,2010387,2011127,-,peptide methionine sulfoxide reductase,Energy production and conversion,Q31LV2,Op1454
Synpcc7942_1938,Synpcc7942_1938,CP000100.1,,2011214,2012275,-,multidrug-efflux transporter,Inorganic ion transport and metabolism,Q31LV1,Op1455
Synpcc7942_1939,gap3,CP000100.1,,2012363,2013364,+,glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,Q9WWL7,Op1456
Synpcc7942_1940,Synpcc7942_1940,CP000100.1,,2013361,2014620,+,putative membrane transporter,Inorganic ion transport and metabolism,Q31LU9,Op1456
Synpcc7942_1941,Synpcc7942_1941,CP000100.1,,2014681,2015577,+,conserved hypothetical protein,Function unknown,Q31LU8,Op1457
Synpcc7942_1942,prxQ-A3,CP000100.1,,2015645,2016097,+,bacterioferritin comigratory protein-like,"Post-translational modification, protein turnover, and chaperones",Q31LU7,Op1458
Synpcc7942_1943,ftn2,CP000100.1,,2016143,2018038,-,cell division protein Ftn2-like,"Post-translational modification, protein turnover, and chaperones",Q93AK0,Op1459
Synpcc7942_1944,pdhA,CP000100.1,,2018389,2019417,+,Pyruvate dehydrogenase (lipoamide),Energy production and conversion,Q31LU5,Op1460
Synpcc7942_1945,uvrC,CP000100.1,,2019498,2021429,-,Excinuclease ABC subunit C,"Replication, recombination and repair",Q31LU4,Op1461
Synpcc7942_1946,Synpcc7942_1946,CP000100.1,,2021493,2021972,-,conserved hypothetical protein,No COG annotation,Q31LU3,Op1462
Synpcc7942_1947,Synpcc7942_1947,CP000100.1,,2022089,2023540,-,conserved hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q31LU2,Op1463
Synpcc7942_1948,Synpcc7942_1948,CP000100.1,,2023694,2023939,+,conserved hypothetical protein,No COG annotation,Q31LU1,Op1464
Synpcc7942_1949,Synpcc7942_1949,CP000100.1,,2024003,2024311,+,conserved hypothetical protein,No COG annotation,Q54771,Op1465
Synpcc7942_1950,Synpcc7942_1950,CP000100.1,,2024388,2024639,+,conserved hypothetical protein,Function unknown,Q31LT9,Op1466
Synpcc7942_1951,Synpcc7942_1951,CP000100.1,,2024828,2025190,+,conserved hypothetical protein,No COG annotation,Q54772,Op1467
Synpcc7942_1952,Synpcc7942_1952,CP000100.1,,2025399,2025740,+,conserved hypothetical protein,No COG annotation,Q54773,Op1468
Synpcc7942_1953,sscR2,CP000100.1,,2025793,2026179,-,6-pyruvoyl tetrahydrobiopterin synthase,Coenzyme transport and metabolism,Q54774,Op1469
Synpcc7942_1954,pyrG,CP000100.1,,2026183,2027877,-,CTP synthase,Nucleotide transport and metabolism,Q54775,Op1469
Synpcc7942_1955,Synpcc7942_1955,CP000100.1,,2027929,2028072,+,conserved hypothetical protein,No COG annotation,Q31LT4,Op1470
Synpcc7942_1956,accD,CP000100.1,,2028196,2029113,+,acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,Lipid transport and metabolism,Q54776,Op1471
Synpcc7942_1957,Synpcc7942_1957,CP000100.1,,2029234,2029671,-,cyclic nucleotide-binding domain (cNMP-BD) protein,Signal transduction mechanisms,Q54777,Op1472
Synpcc7942_1958,Synpcc7942_1958,CP000100.1,,2029762,2030133,-,conserved hypothetical protein,No COG annotation,Q31LT1,Op1473
Synpcc7942_1959,proS,CP000100.1,,2030322,2032142,+,prolyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",Q31LT0,Op1474
Synpcc7942_1960,Synpcc7942_1960,CP000100.1,,2032190,2032696,-,conserved hypothetical protein,Function unknown,Q31LS9,Op1475
Synpcc7942_1961,fbp,CP000100.1,,2032854,2033402,+,ferripyochelin binding protein,Function unknown,Q31LS8,Op1476
Synpcc7942_1962,psbY,CP000100.1,,2033449,2033571,+,photosystem II PsbY protein,No COG annotation,Q31LS7,Op1477
Synpcc7942_1963,Synpcc7942_1963,CP000100.1,,2033871,2034767,-,conserved hypothetical protein,Defense mechanisms,Q31LS6,Op1478
Synpcc7942_1964,ubiA,CP000100.1,,2034764,2035696,-,4-hydroxybenzoate octaprenyltransferase,Coenzyme transport and metabolism,Q31LS5,Op1478
Synpcc7942_1965,ppx,CP000100.1,,2035730,2037379,+,exopolyphosphatase,Nucleotide transport and metabolism,Q31LS4,Op1479
Synpcc7942_1966,Synpcc7942_1966,CP000100.1,,2037413,2037670,+,conserved hypothetical protein,Function unknown,Q31LS3,Op1479
Synpcc7942_1967,uppP,CP000100.1,,2037772,2038638,+,Undecaprenyl-diphosphatase,Defense mechanisms,Q31LS2,Op1480
Synpcc7942_1968,Synpcc7942_1968,CP000100.1,,2038685,2040043,+,conserved hypothetical protein,Energy production and conversion,Q31LS1,Op1481
Synpcc7942_1969,abrB,CP000100.1,,2040474,2040851,+,Transcriptional regulator AbrB,Transcription,Q31LS0,Op1482
Synpcc7942_1970,-,CP000100.1,,2041038,2041484,-,N-acyl-L-amino acid amidohydrolase,Function unknown,Q31LR9,Op1483
Synpcc7942_1971,-,CP000100.1,,2041481,2042239,-,Peptidase M20D%2C amidohydrolase,Function unknown,Q31LR8,Op1484
Synpcc7942_1972,Synpcc7942_1972,CP000100.1,,2042290,2043057,-,TPR repeat,Function unknown,Q31LR7,Op1485
Synpcc7942_1973,cpsB,CP000100.1,,2043151,2044320,-,mannose-1-phosphate guanyltransferase,Coenzyme transport and metabolism,Q31LR6,Op1486
Synpcc7942_1974,Synpcc7942_1974,CP000100.1,,2044388,2045224,-,condensin subunit ScpA,"Cell cycle control, cell division, chromosome partitioning",Q31LR5,Op1487
Synpcc7942_1975,Synpcc7942_1975,CP000100.1,,2045410,2045763,-,conserved hypothetical protein,Function unknown,Q31LR4,Op1488
Synpcc7942_1976,ndhD1,CP000100.1,,2045793,2047397,-,proton-translocating NADH-quinone oxidoreductase%2C chain M,Energy production and conversion,Q31LR3,Op1488
Synpcc7942_1977,ndhF1,CP000100.1,,2047567,2049564,-,proton-translocating NADH-quinone oxidoreductase%2C chain L,Energy production and conversion,Q31LR2,Op1488
Synpcc7942_1978,trx3,CP000100.1,,2049645,2049980,-,thioredoxin,"Post-translational modification, protein turnover, and chaperones",Q9ALA7,Op1489
Synpcc7942_1979,Synpcc7942_1979,CP000100.1,,2050014,2050736,-,membrane protein-like,Function unknown,Q9ALA6,Op1489
Synpcc7942_1980,Synpcc7942_1980,CP000100.1,,2050905,2051894,+,transcriptional regulator%2C LysR family,Transcription,Q99QJ5,Op1490
Synpcc7942_1981,Synpcc7942_1981,CP000100.1,,2051891,2052499,-,conserved hypothetical protein,No COG annotation,Q31LQ8,Op1491
Synpcc7942_1982,ndhM,CP000100.1,,2052499,2052831,-,NADH dehydrogenase I subunit M,Energy production and conversion,Q31LQ7,Op1491
Synpcc7942_1983,zds2,CP000100.1,,2052981,2054405,+,zeta-carotene desaturase / three-step phytoene desaturase,Amino acid transport and metabolism,P26294,Op1492
Synpcc7942_1984,crtB,CP000100.1,,2054486,2055412,+,phytoene synthase,Lipid transport and metabolism,P37269,Op1492
Synpcc7942_1985,Synpcc7942_1985,CP000100.1,,2055445,2056338,-,conserved hypothetical protein,Carbohydrate transport and metabolism,Q31LQ4,Op1493
Synpcc7942_1986,pqqL,CP000100.1,,2056331,2057653,-,processing protease,Function unknown,Q31LQ3,Op1493
Synpcc7942_1987,rpaC,CP000100.1,,2057819,2058133,+,conserved hypothetical protein,No COG annotation,Q31LQ2,Op1494
Synpcc7942_1988,Synpcc7942_1988,CP000100.1,,2058724,2059857,-,conserved hypothetical protein,No COG annotation,Q31LQ1,Op1495
Synpcc7942_1989,Synpcc7942_1989,CP000100.1,,2059907,2060818,-,cation diffusion facilitator family transporter,Inorganic ion transport and metabolism,Q31LQ0,Op1496
Synpcc7942_1990,Synpcc7942_1990,CP000100.1,,2060865,2061527,-,conserved hypothetical protein,Function unknown,Q31LP9,Op1497
Synpcc7942_1991,mscL,CP000100.1,,2061920,2062321,-,large conductance mechanosensitive channel protein,Cell wall/membrane/envelope biogenesis,Q31LP8,Op1498
Synpcc7942_1992,mtnA,CP000100.1,,2062388,2063434,-,translation initiation factor 2B subunit I family (IF-2BI),"Translation, ribosomal structure and biogenesis",Q31LP7,Op1499
Synpcc7942_1993,mtnB,CP000100.1,,2063554,2064174,+,methylthioribulose-1-phosphate dehydratase,Coenzyme transport and metabolism,Q31LP6,Op1500
Synpcc7942_1994,mtnC,CP000100.1,,2064180,2064896,+,2%2C3-diketo-5-methylthio-1-phosphopentane phosphatase,Nucleotide transport and metabolism,Q31LP5,Op1500
Synpcc7942_1995,hisIE,CP000100.1,,2064926,2065561,-,phosphoribosyl-ATP pyrophosphatase / phosphoribosyl-AMP cyclohydrolase,Amino acid transport and metabolism,Q31LP4,Op1501
Synpcc7942_1996,Synpcc7942_1996,CP000100.1,,2065617,2065967,-,conserved hypothetical protein,No COG annotation,Q31LP3,Op1502
Synpcc7942_1997,hliA,CP000100.1,,2066152,2066370,-,high light-inducible protein,Function unknown,Q55019,Op1503
Synpcc7942_1998,Synpcc7942_1998,CP000100.1,,2066556,2067143,+,GAF,No COG annotation,Q31LP1,Op1504
Synpcc7942_1999,rbp2,CP000100.1,,2067448,2067735,-,RNA-binding region RNP-1,Function unknown,Q31LP0,Op1505
Synpcc7942_2000,mrcA3,CP000100.1,,2067958,2070180,-,Penicillin-binding protein 1A,Cell wall/membrane/envelope biogenesis,Q31LN9,Op1506
Synpcc7942_2001,minC,CP000100.1,,2070348,2071166,-,septum site-determining protein MinC,"Cell cycle control, cell division, chromosome partitioning",Q31LN8,Op1507
Synpcc7942_2002,Synpcc7942_2002,CP000100.1,,2071335,2072045,+,hypothetical protein,No COG annotation,Q31LN7,Op1508
Synpcc7942_2003,Synpcc7942_2003,CP000100.1,,2072093,2072806,+,conserved hypothetical protein,No COG annotation,Q31LN6,Op1509
Synpcc7942_2004,sigI,CP000100.1,,2073028,2073618,+,sigma-24 (FecI-like),Transcription,Q31LN5,Op1510
Synpcc7942_2005,Synpcc7942_2005,CP000100.1,,2073628,2074449,+,flm3 region hypothetical protein 4,Function unknown,Q31LN4,Op1510
Synpcc7942_2006,cdv3,CP000100.1,,2074598,2075284,-,conserved hypothetical protein,"Replication, recombination and repair",Q31LN3,Op1511
Synpcc7942_2007,coaD,CP000100.1,,2075281,2075781,-,Phosphopantetheine adenylyltransferase,Nucleotide transport and metabolism,Q55235,Op1511
Synpcc7942_2008,Synpcc7942_2008,CP000100.1,,2075871,2076353,+,conserved hypothetical protein,Function unknown,Q07948,Op1512
Synpcc7942_2009,Synpcc7942_2009,CP000100.1,,2076365,2079133,+,conserved hypothetical protein,"Replication, recombination and repair",Q31LN0,Op1512
Synpcc7942_2010,psbV,CP000100.1,,2079493,2080140,-,cytochrome c550,Energy production and conversion,Q31LM9,Op1513
Synpcc7942_2011,rnz,CP000100.1,,2080210,2081391,-,RNAse Z,"Translation, ribosomal structure and biogenesis",Q31LM8,Op1514
Synpcc7942_2012,Synpcc7942_2012,CP000100.1,,2081506,2082729,+,stage II sporulation protein D-like,"Cell cycle control, cell division, chromosome partitioning",Q31LM7,Op1515
Synpcc7942_2013,Synpcc7942_2013,CP000100.1,,2082726,2083253,-,conserved hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q31LM6,Op1516
Synpcc7942_2014,Synpcc7942_2014,CP000100.1,,2083250,2083843,-,conserved hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q31LM5,Op1516
Synpcc7942_2015,Synpcc7942_2015,CP000100.1,,2083852,2084685,-,conserved hypothetical protein YCF66,Function unknown,Q31LM4,Op1516
Synpcc7942_2016,psbX,CP000100.1,,2084803,2084922,-,photosystem II PsbX protein,No COG annotation,Q31LM3,Op1517
Synpcc7942_2017,Synpcc7942_2017,CP000100.1,,2085077,2085370,+,conserved hypothetical protein,Function unknown,Q31LM2,Op1518
Synpcc7942_2018,Synpcc7942_2018,CP000100.1,,2085584,2085829,+,conserved hypothetical protein,Function unknown,Q31LM1,Op1519
Synpcc7942_2019,Synpcc7942_2019,CP000100.1,,2085893,2086762,-,conserved hypothetical protein,No COG annotation,Q31LM0,Op1520
Synpcc7942_2020,infB,CP000100.1,,2086845,2089937,-,bacterial translation initiation factor 2 (bIF-2),"Translation, ribosomal structure and biogenesis",Q31LL9,Op1521
Synpcc7942_2021,Synpcc7942_2021,CP000100.1,,2090088,2090381,-,conserved hypothetical protein,Transcription,Q31LL8,Op1522
Synpcc7942_2022,nusA,CP000100.1,,2090378,2091703,-,NusA antitermination factor,Transcription,Q31LL7,Op1522
Synpcc7942_2023,Synpcc7942_2023,CP000100.1,,2091760,2092221,-,conserved hypothetical protein,"Translation, ribosomal structure and biogenesis",Q31LL6,Op1523
Synpcc7942_2024,Synpcc7942_2024,CP000100.1,,2092386,2093258,-,conserved hypothetical protein,Function unknown,Q31LL5,Op1524
Synpcc7942_2025,Synpcc7942_2025,CP000100.1,,2093363,2094448,+,probable glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31LL4,Op1525
Synpcc7942_2026,Synpcc7942_2026,CP000100.1,,2094451,2095854,+,probable glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31LL3,Op1525
Synpcc7942_2027,Synpcc7942_2027,CP000100.1,,2095857,2096600,+,probable glycosly transferase,Function unknown,Q31LL2,Op1525
Synpcc7942_2028,Synpcc7942_2028,CP000100.1,,2096615,2097676,+,probable glycosyltransferase,Cell wall/membrane/envelope biogenesis,Q31LL1,Op1525
Synpcc7942_2029,pgi,CP000100.1,,2097799,2099385,+,glucose-6-phosphate isomerase,Nucleotide transport and metabolism,Q31LL0,Op1526
Synpcc7942_2030,cpcG,CP000100.1,,2099548,2100300,-,phycobilisome rod-core linker polypeptide,Carbohydrate transport and metabolism,Q31LK9,Op1527
Synpcc7942_2031,Synpcc7942_2031,CP000100.1,,2100423,2101004,-,conserved hypothetical protein,Coenzyme transport and metabolism,Q31LK8,Op1528
Synpcc7942_2032,Synpcc7942_2032,CP000100.1,,2101118,2102308,+,multidrug-efflux transporter quinolene resistance protein NorA,Amino acid transport and metabolism,Q31LK7,Op1529
Synpcc7942_2033,Synpcc7942_2033,CP000100.1,,2102330,2103022,+,conserved hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31LK6,Op1529
Synpcc7942_2034,Synpcc7942_2034,CP000100.1,,2103270,2104508,+,conserved hypothetical protein,Energy production and conversion,Q31LK5,Op1530
Synpcc7942_2035,Synpcc7942_2035,CP000100.1,,2104481,2105518,-,hypothetical protein,Inorganic ion transport and metabolism,Q31LK4,Op1531
Synpcc7942_2036,Synpcc7942_2036,CP000100.1,,2105522,2106526,-,conserved hypothetical protein,Inorganic ion transport and metabolism,Q31LK3,Op1531
Synpcc7942_2037,Synpcc7942_2037,CP000100.1,,2106519,2107163,-,conserved hypothetical protein,Function unknown,Q31LK2,Op1531
Synpcc7942_2038,Synpcc7942_2038,CP000100.1,,2107367,2108059,-,transcriptional regulator%2C XRE family with cupin sensor domain,No COG annotation,Q31LK1,Op1532
Synpcc7942_2039,Synpcc7942_2039,CP000100.1,,2108533,2109339,-,conserved hypothetical protein,No COG annotation,Q31LK0,Op1533
Synpcc7942_2040,sfsA,CP000100.1,,2109423,2110133,-,sugar fermentation stimulation protein,Function unknown,Q31LJ9,Op1534
Synpcc7942_2041,mviN,CP000100.1,,2110181,2111803,+,integral membrane protein MviN,Function unknown,Q31LJ8,Op1535
Synpcc7942_2042,Synpcc7942_2042,CP000100.1,,2111810,2112136,-,conserved hypothetical protein,No COG annotation,Q31LJ7,Op1536
Synpcc7942_2043,speH,CP000100.1,,2112253,2112672,-,adenosylmethionine decarboxylase proenzyme,Coenzyme transport and metabolism,Q31LJ6,Op1537
Synpcc7942_2044,Synpcc7942_2044,CP000100.1,,2112977,2113990,-,conserved hypothetical protein,Function unknown,Q31LJ5,Op1538
Synpcc7942_2045,smc,CP000100.1,,2114134,2117721,-,condensin subunit Smc,"Cell cycle control, cell division, chromosome partitioning",Q31LJ4,Op1539
Synpcc7942_2046,gcvH,CP000100.1,,2118062,2118451,+,glycine cleavage system H protein,Amino acid transport and metabolism,Q31LJ3,Op1540
Synpcc7942_2047,gcvP,CP000100.1,,2118510,2121371,+,glycine dehydrogenase (decarboxylating) alpha subunit / glycine dehydrogenase (decarboxylating) beta subunit,Amino acid transport and metabolism,Q31LJ2,Op1540
Synpcc7942_2048,psaB,CP000100.1,,2121521,2123725,-,photosystem I core protein PsaB,Energy production and conversion,Q31LJ1,Op1541
Synpcc7942_2049,psaA,CP000100.1,,2123745,2126036,-,photosystem I core protein PsaA,Energy production and conversion,Q31LJ0,Op1541
Synpcc7942_2050,-,CP000100.1,,2126401,2127864,+,hypothetical protein,Energy production and conversion,Q31LI9,Op1542
Synpcc7942_2051,Synpcc7942_2051,CP000100.1,,2127861,2129303,-,conserved hypothetical protein,Function unknown,Q31LI8,Op1543
Synpcc7942_2052,Synpcc7942_2052,CP000100.1,,2129314,2130186,-,probable oligopeptides ABC transporter permease protein,Inorganic ion transport and metabolism,Q31LI7,Op1543
Synpcc7942_2053,Synpcc7942_2053,CP000100.1,,2130328,2132259,+,probable peptidase,Amino acid transport and metabolism,Q31LI6,Op1544
Synpcc7942_2054,Synpcc7942_2054,CP000100.1,,2132256,2133197,-,conserved hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q31LI5,Op1545
Synpcc7942_2055,ubiF,CP000100.1,,2133299,2134543,+,2-octaprenyl-3-methyl-6-methoxy-1%2C4-benzoquinol hydroxylase,Energy production and conversion,Q31LI4,Op1546
Synpcc7942_2056,-,CP000100.1,,2134608,2134985,+,hypothetical protein,Function unknown,Q31LI3,Op1547
Synpcc7942_2057,Synpcc7942_2057,CP000100.1,,2135125,2135757,+,acyl-phosphate glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,Q31LI2,Op1548
Synpcc7942_2058,proC,CP000100.1,,2135767,2136561,-,pyrroline-5-carboxylate reductase,Amino acid transport and metabolism,Q31LI1,Op1549
Synpcc7942_2059,cdv2,CP000100.1,,2136697,2137272,-,conserved hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q31LI0,Op1550
Synpcc7942_2060,ylmE,CP000100.1,,2137504,2138169,-,Protein of unknown function UPF0001,Function unknown,Q31LH9,Op1551
Synpcc7942_2061,pipX,CP000100.1,,2138194,2138463,-,conserved hypothetical protein,Function unknown,Q7X386,Op1551
Synpcc7942_2062,crtL,CP000100.1,,2138585,2139820,-,lycopene cyclase (CrtL-type),Energy production and conversion,Q55276,Op1552
Synpcc7942_2063,surE,CP000100.1,,2139891,2140667,-,exopolyphosphatase / 5'-nucleotidase / 3'-nucleotidase,Nucleotide transport and metabolism,Q31LH6,Op1553
Synpcc7942_2064,pheS,CP000100.1,,2140803,2141804,+,phenylalanyl-tRNA synthetase%2C alpha subunit,"Translation, ribosomal structure and biogenesis",Q31LH5,Op1554
Synpcc7942_2065,Synpcc7942_2065,CP000100.1,,2141928,2142182,-,conserved hypothetical protein,No COG annotation,Q31LH4,Op1555
Synpcc7942_2066,Synpcc7942_2066,CP000100.1,,2142279,2143310,-,TIM-barrel protein%2C yjbN family,Coenzyme transport and metabolism,Q31LH3,Op1556
Synpcc7942_2067,Synpcc7942_2067,CP000100.1,,2143337,2144584,+,HI0933-like protein,Function unknown,Q31LH2,Op1557
Synpcc7942_2068,Synpcc7942_2068,CP000100.1,,2144549,2145103,-,conserved hypothetical protein,No COG annotation,Q31LH1,Op1558
Synpcc7942_2069,pilC,CP000100.1,,2145109,2146341,-,fimbrial assembly protein PilC-like,"Intracellular trafficking, secretion, and vesicular transport",Q31LH0,Op1558
Synpcc7942_2070,pilT1,CP000100.1,,2146366,2147454,-,twitching motility protein,Cell motility,Q31LG9,Op1558
